Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:49,"1,009s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Subjects_subjectsInput""), ""A"")",Chrome 144.0.0.0,,,20-02-2026 14:45:49,20-02-2026 14:45:50,"0,399s",PASSED
"executeJavaScript(""document.querySelector('[id^=react-select-2-option]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:50,20-02-2026 14:45:50,"0,041s",PASSED
"executeJavaScript(""document.querySelector('label[for=hobbies-checkbox-3]').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:50,20-02-2026 14:45:50,"0,032s",PASSED
"uploadFile(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Select picture_uploadPicture""), getProjectDir() + ""/Data Files/student_photo.jpg"")",Chrome 144.0.0.0,,,20-02-2026 14:45:50,20-02-2026 14:45:50,"0,094s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/textarea_Current Address_currentAddress""), 3)",Chrome 144.0.0.0,,,20-02-2026 14:45:50,20-02-2026 14:45:50,"0,064s",PASSED
if (CurrentAddress),Chrome 144.0.0.0,,,20-02-2026 14:45:50,20-02-2026 14:45:50,"0,292s",PASSED
"executeJavaScript(""window.scrollBy(0, 300)"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:50,20-02-2026 14:45:50,"0,022s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:50,20-02-2026 14:45:51,"1,009s",PASSED
"executeJavaScript(""var ads=document.querySelectorAll('.ad-container,.close-button,#adplus-anchor,[id*=google_ads],[class*=adsbygoogle]'); ads.forEach(function(a){a.remove();});"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:51,20-02-2026 14:45:51,"0,080s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 14:45:51,20-02-2026 14:45:52,"1,008s",PASSED
"if (Scenario.startsWith(""TC007""))",Chrome 144.0.0.0,,,20-02-2026 14:45:52,20-02-2026 14:45:52,"0,000s",PASSED
